team_name,team_url
American University Eagles,https://aueagles.com
Arizona State Sun Devils,https://thesundevils.com
Arizona Wildcats,https://arizonawildcats.com
Arkansas Razorbacks,https://arkansasrazorbacks.com
Auburn Tigers,https://auburntigers.com
Boise State Broncos,https://broncosports.com/sports/mens-basketball/stats/2025-26
Bradley Braves,https://bradleybraves.com/sports/mens-basketball/stats
Cal Poly Mustangs,https://gopoly.com/sports/mens-basketball/stats/2025-26
California Golden Bears,https://calbears.com/sports/mens-basketball/stats
Colorado Buffaloes,https://cubuffs.com/sports/mens-basketball/stats/2025-26
Colorado State Rams,https://csurams.com/sports/mens-basketball/stats/2025-26
Delaware Blue Hens,https://bluehens.com/sports/mens-basketball/stats/2025-26
Florida A&M Rattlers,https://famuathletics.com/sports/mens-basketball/stats
Florida Gators,https://floridagators.com/sports/mens-basketball/stats/2025-26
Florida State Seminoles,https://seminoles.com/sports/mens-basketball/stats/2025-26
George Washington Revolutionaries,https://gwsports.com/sports/mens-basketball/stats/2025-26
Georgetown Hoyas,https://guhoyas.com/sports/mens-basketball/stats
Georgia Bulldogs,https://georgiadogs.com/sports/mens-basketball/stats/2025-26
Hawai'i Rainbow Warriors,https://hawaiiathletics.com/sports/mens-basketball/stats
Howard Bison,https://hubison.com/sports/mens-basketball/stats
IU Indianapolis Jaguars,https://iuindyjags.com/sports/mens-basketball/stats
Idaho Vandals,https://govandals.com/sports/mens-basketball/stats
Indiana Hoosiers,https://iuhoosiers.com/sports/mens-basketball/stats/2025-26
Iowa State Cyclones,https://cyclones.com/sports/mens-basketball/stats/2025-26
Jacksonville State Gamecocks,https://jaxstatesports.com/sports/mens-basketball/stats
Louisville Cardinals,https://gocards.com/sports/mens-basketball/stats/2025-26
Murray State Racers,https://goracers.com/sports/mens-basketball/stats/2025-26
Northern Kentucky Norse,https://nkunorse.com/sports/mens-basketball/stats
Northwestern Wildcats,https://nusports.com/sports/mens-basketball/stats/2025-26
Sacramento State Hornets,https://hornetsports.com/sports/mens-basketball/stats
South Alabama Jaguars,https://usajaguars.com/sports/mens-basketball/stats
South Florida Bulls,https://gousfbulls.com/sports/mens-basketball/stats
Southern Illinois Salukis,https://siusalukis.com/sports/mens-basketball/stats/2025-26
Stetson Hatters,https://gohatters.com/sports/mens-basketball/stats
UAB Blazers,https://uabsports.com/sports/mens-basketball/stats/2025-26
UC Riverside Highlanders,https://gohighlanders.com/sports/mens-basketball/stats
UC San Diego Tritons,https://ucsdtritons.com/sports/mens-basketball/stats
UCLA Bruins,https://uclabruins.com/sports/mens-basketball/stats/2025-26
UConn Huskies,https://uconnhuskies.com/sports/mens-basketball/stats/2025-26
UIC Flames,https://uicflames.com/sports/mens-basketball/stats
USC Trojans,https://usctrojans.com/sports/mens-basketball/stats/2025-26
Western Kentucky Hilltoppers,https://wkusports.com/sports/mens-basketball/stats/2025-26
Yale Bulldogs,https://yalebulldogs.com/sports/mens-basketball/stats
Georgia Tech Yellow Jackets,https://data.ramblinwreck.com/stats/m-basketball/2025-26/GTMBBStats2526.pdf
Kentucky Wildcats,https://ukathletics.com/sports/mbball/cumestats/
Notre Dame Fighting Irish,https://fightingirish.com/wp-content/uploads/2025/11/MBB-Season-1.pdf
San Diego State Aztecs,https://goaztecs.com/sports/mens-basketball/stats
San Jose State Spartans,https://sjsuspartans.com/sports/mens-basketball/stats
Stanford Cardinal,https://gostanford.com/sports/mens-basketball/stats/season/2025-26
